150	0.109102303	0.219740763	0.671156934
450	0.114203838	0.239774077	0.646022084
750	0.117525728	0.271593892	0.61088038
1050	0.116571396	0.305084048	0.578344556
1350	0.114182108	0.332263963	0.553553929
1650	0.112124003	0.350938104	0.536937893
1950	0.113675798	0.365938166	0.520386035
2250	0.12148513	0.381519202	0.496995669
2550	0.128973575	0.396663807	0.474362618
2850	0.128887956	0.410984889	0.460127156
3150	0.124734224	0.424008259	0.451257516
3450	0.12239249	0.43382393	0.44378358
3750	0.123331831	0.441739641	0.434928528
4050	0.128562641	0.448889633	0.422547726
4350	0.135759178	0.455658632	0.40858219
4650	0.138548568	0.464160623	0.397290809
4950	0.138165581	0.473841383	0.387993036
5250	0.139623355	0.480494964	0.379881681
